species,stock,sex,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
smooth dogfish,All,male,99.242,100.271,105.963,107.436,100.48,97.307,99.944,102.495,102.194,95.963,97.681,96.701,102.657,96.907,98.487,98.861,98.944,100.818,98.794,101.696,97.714,95.207,99.968,96.252,101.175,
smooth dogfish,All,female,100.513,97.786,104.301,111.345,103.027,97.108,99.566,101.159,102.311,94.752,95.092,97.289,104.056,96.424,96.975,97.942,98.996,100.535,100.838,102.164,104.087,99.477,99.734,98.808,100.023,
spiny dogfish,All,male,108.657,112.969,111.174,111.553,109.575,107.529,106.972,109.599,108.249,108.012,110.152,107.19,104.646,107.013,110.116,109.478,109.101,104.347,103.59,104.627,108.268,110.221,109.094,112.685,109.357,108.314
spiny dogfish,All,female,102.834,105.517,104.348,102.875,103.733,102.891,101.917,103.074,102.73,99.148,105.752,103.317,103.451,101.297,104.876,105.396,105.528,100.929,100.387,101.425,105.594,104.247,104.805,107.431,110.058,106.148
summer flounder,All,male,100.936,102.87,105.172,102.375,100.507,104.76,102.088,101.221,103.62,99.608,98.717,101.517,97.857,99.289,100.481,98.695,99.292,99.284,98.723,99.568,100.257,99.153,101.211,102.061,103.653,107.904
summer flounder,All,female,103.303,103.393,105.278,100.942,98.428,101.97,102.138,100.164,101.358,97.142,97.431,101.457,100.152,99.514,101.424,100.417,99.775,98.27,98.448,98.163,98.943,98.337,100.771,101.617,100.666,102.527
butterfish,All,combined,106.887,107.051,104.045,108.768,107.743,107.604,105.979,111.832,108.784,98.233,95.928,108.833,93.521,97.586,99.449,104.617,98.071,100.661,102.73,101.259,102.955,104.098,99.977,102.292,109.85,
bluefish,All,combined,91.5371,92.1907,94.9109,90.6048,90.4195,86.7251,90.8821,90.6111,91.3365,83.2719,83.992,85.0575,86.6856,87.5051,83.2262,87.5312,85.39,90.9242,91.7928,87.3731,88.9532,91.5717,87.0587,91.5161,89.5714,
black sea bass,All,male,97.781,101.956,99.781,106.21,102.672,102.352,103.524,113.62,107.995,102.842,103.589,101.149,99.342,112.713,106.761,97.831,100.425,97.325,95.816,102.27,98.586,106.545,98.871,95.69,100.637,101.188
black sea bass,All,female,109.126,110.18,110.257,110.586,107.067,109.483,106.049,110.128,110.582,105.943,103.501,104.038,103.009,106.429,107.222,101.216,104.243,104.387,103.699,105.548,102.407,107.082,103.367,103.379,102.876,104.575
scup,All,combined,105.882,100.486,104.138,103.702,101.805,99.702,97.22,101.586,108.318,92.357,89.943,96.872,92.13,92.496,93.285,94.733,90.813,98.605,98.784,98.087,93.84,98.436,99.337,104.558,99.192,
weakfish,All,male,84.187,78.475,84.128,81.479,80.296,77.095,84.321,81.691,79.783,79.634,79.047,79.439,76.104,73.064,73.757,72.445,72.166,78.979,81.328,74.89,80.794,76.3,80.879,79.463,78.115,
weakfish,All,female,82.157,76.684,81.785,77.677,79.104,73.962,81.928,77.675,78.277,75.798,73.549,77.606,75.649,73.66,72.421,71.774,70.226,77.325,80.648,74.145,75.263,75.376,80.201,77.729,75.381,
goosefish,NE,combined,102.22,97.541,99.952,100.626,101.516,105.097,107.927,106.953,105.241,99.629,97.31,98.818,103.709,92.294,95.406,102.538,102.992,98.073,96.8,96.171,95.843,96.897,98.203,97.454,95.871,95.874
goosefish,MAB,combined,103.007,104.991,107.767,104.197,106.777,95.285,95.952,107.853,103.918,98.159,104.7,102.11,98.261,107.203,100.04,100.333,104.195,101.146,98.8,102.759,101.881,101.558,101.617,98.909,100.425,94.889
