Common Name,Scientific Name
Bluefin Tuna,Thunnus thynnus
Swordfish,Xiphias gladius
Bigeye Tuna,Thunnus obesus
Yellowfin Tuna,Thunnus albacares
Shortfin Mako Shark,Isurus oxyrinchus
Albacore Tuna,Thunnus alalunga
Smooth Dogfish Shark,Mustelus canis
Atlantic Sharpnose Shark,Rhizoprionodon terraenovae
Thresher Shark ,Alopias vulpinus
Blacktip Shark,Carcharhinus limbatus
Spinner Shark,Carcharhinus brevipinna
Sandbar Shark,Carcharhinus plumbeus
Great Hammerhead Shark,Sphyrna mokarran
Finetooth Shark,Aprionodon isodon
Skipjack Tuna,Katsuwonus pelamis
Bull Shark,Carcharhinus leucas
Tiger Shark,Galeocerdo cuvier
Scalloped Hammerhead Shark,Sphyrna lewini
Shark fins,NA
